,08P,10-12D,10AG,10C,10G,10SoS,10T,12P,12S,Mean,Standard Deviation,mean,sem,R mean,R,B_GS,,,
,,,,,,,,,,,std,,,,SEM,,SEM,,
0.3,0.001919,0.004234,0.020664,0.003513,0.008304,0.007256,0.003107,0.003131,0.002413,0.00606011111111111,0.00588761404230195,0.00606011111111111,0.00196253801410065,0.0188015555555556,0.00318744096725776,0.493629277777778,0.0025749894906792,,
0.305,0.002852,0.006072,0.026069,0.005091,0.011394,0.010106,0.004536,0.004603,0.00357,0.00825477777777778,0.00727757000615208,0.00825477777777778,0.00242585666871736,0.0248095555555555,0.00393989141528006,0.491722611111111,0.00318287404199871,,
0.31,0.004135,0.008493,0.032189,0.007194,0.015254,0.013724,0.006459,0.006597,0.005153,0.011022,0.00877909068468939,0.011022,0.00292636356156313,0.032011888888889,0.00474526654047203,0.489505055555556,0.00383581505101758,,
0.315,0.005852,0.011595,0.038967,0.009923,0.019947,0.018187,0.008976,0.009226,0.00726,0.014437,0.0103488239428449,0.014437,0.0034496079809483,0.0404354444444446,0.00557440213065019,0.487000777777778,0.00451200505579924,,
0.32,0.008091,0.015465,0.046324,0.013372,0.025505,0.023545,0.012184,0.0126,0.009994,0.0185644444444444,0.011935076613821,0.0185644444444444,0.00397835887127368,0.0500566666666666,0.00639264978314939,0.484253888888889,0.00518550432721153,,
0.325,0.010938,0.020173,0.054176,0.017618,0.031926,0.029812,0.016168,0.016817,0.013453,0.0234534444444444,0.0134845740951569,0.0234534444444444,0.00449485803171898,0.0608008888888889,0.00716337667592837,0.481326277777778,0.00582911735382368,,
0.33,0.014471,0.025761,0.062439,0.022721,0.039169,0.036961,0.020996,0.021954,0.017725,0.029133,0.0149442219687075,0.029133,0.0049814073229025,0.072544888888889,0.00785018300997647,0.478294055555555,0.00641579516643949,,
0.335,0.018757,0.032246,0.071042,0.02871,0.047164,0.044934,0.02671,0.028062,0.022883,0.035612,0.0162671733023903,0.035612,0.00542239110079677,0.085127,0.00842097189890943,0.4752425,0.0069216814998531,,
0.34,0.023848,0.039613,0.079938,0.035589,0.055812,0.053641,0.033326,0.035156,0.028977,0.0428777777777778,0.017416273135905,0.0428777777777778,0.00580542437863498,0.0983562222222223,0.00885043538912976,0.472260777777778,0.00732792988388237,,
0.345,0.029775,0.047823,0.089109,0.043332,0.065004,0.062979,0.040828,0.04322,0.036033,0.0509003333333333,0.0183685062947426,0.0509003333333333,0.00612283543158088,0.112029777777778,0.00912302962406705,0.469435277777778,0.00762293252782396,,
0.35,0.036554,0.05682,0.098566,0.05189,0.074631,0.072841,0.049181,0.052202,0.044054,0.0596376666666667,0.0191142817220528,0.0596376666666667,0.00637142724068425,0.125945111111111,0.00923352800703988,0.466846277777778,0.00780247762386207,,
0.355,0.044187,0.066537,0.108352,0.061198,0.084596,0.083136,0.058329,0.062029,0.053024,0.0690431111111111,0.0196594286822153,0.0690431111111111,0.00655314289407178,0.139916777777778,0.00918785936980875,0.464563166666667,0.00787050113194027,,
0.36,0.052663,0.076908,0.118529,0.071184,0.094831,0.093795,0.06821,0.072613,0.062908,0.0790712222222222,0.0200227464261136,0.0790712222222222,0.00667424880870453,0.153785444444445,0.00900214672100048,0.462642888888889,0.00783819776485251,,
0.365,0.061971,0.087881,0.129173,0.081781,0.1053,0.104788,0.078764,0.083866,0.073666,0.0896877777777778,0.0202322814443761,0.0896877777777778,0.00674409381479203,0.167426555555556,0.00870081251811052,0.461130611111111,0.00772245316645127,,
0.37,0.072095,0.099418,0.140361,0.092932,0.116007,0.116118,0.089942,0.095709,0.085252,0.100870444444444,0.0203232291793843,0.100870444444444,0.00677440972646144,0.180755666666667,0.0083146424273353,0.460057388888889,0.00754452607689837,,
0.375,0.083028,0.111506,0.152159,0.104597,0.126989,0.127824,0.101713,0.108085,0.097626,0.112614111111111,0.0203304171283107,0.112614111111111,0.00677680570943691,0.193702888888889,0.00786755359838473,0.459455611111111,0.00732217965391082,,
0.38,0.094765,0.124151,0.164612,0.116757,0.138311,0.139971,0.11407,0.120962,0.110757,0.124928444444444,0.0202849528352367,0.124928444444444,0.0067616509450789,0.205712555555556,0.0072243065836243,0.459607944444444,0.0069929787643516,,
0.385,0.107308,0.137378,0.177734,0.129411,0.150058,0.152638,0.127025,0.134337,0.124619,0.137834222222222,0.0202091744251081,0.137834222222222,0.00673639147503604,0.216666555555555,0.00647047803727547,0.460583833333333,0.00660343475615576,,
0.39,0.120662,0.151221,0.191506,0.142574,0.162319,0.165907,0.140607,0.14823,0.139197,0.151358111111111,0.0201133008631381,0.151358111111111,0.00670443362104603,0.227308222222222,0.0057475254549187,0.462024944444444,0.00622597953798236,,
0.395,0.134826,0.165714,0.205871,0.15627,0.175178,0.179847,0.154854,0.16268,0.15448,0.165524444444444,0.0199942974502176,0.165524444444444,0.0066647658167392,0.237480888888889,0.00509955493277066,0.464021777777778,0.00588216037475493,,
0.4,0.149795,0.180884,0.220741,0.170526,0.188701,0.194503,0.169804,0.177728,0.170454,0.180348444444444,0.0198365428005431,0.180348444444444,0.00661218093351436,0.247270333333333,0.00461470797800059,0.466539055555556,0.00561344445575748,,
0.405,0.165547,0.19674,0.235998,0.185364,0.202929,0.209891,0.185483,0.193413,0.1871,0.195829444444444,0.0196154157686698,0.195829444444444,0.00653847192288992,0.256877777777778,0.00420995758680726,0.469475833333333,0.00537421475484859,,
0.41,0.182045,0.213264,0.251507,0.200798,0.217873,0.225988,0.201899,0.209755,0.204383,0.211945777777778,0.0193015747464927,0.211945777777778,0.0064338582488309,0.266421,0.00384801180264995,0.472762388888889,0.00514093502574042,,
