,04P,08A,08AG,08G,08P,08S,08SoS,08T,10S,12A,12D,12G,12P,12Sos,12T,Mean,Standard Deviation,mean,SEM,R,R,B_GS,sem
,,,,,,,,,,,,,,,,,,,,mean,sem,,
,,,,,,,,,,,,,,,,"Statistics On Rows of [NC S/V]Sheet1!Col(""04P""):Col(""12T"")","Statistics On Rows of [NC S/V]Sheet1!Col(""04P""):Col(""12T"")",,,,,,
0.37,0.213773,0.14922,0.084896,0.164839,0.194022,0.137395,0.129034,0.152312,0.224984,0.177517,0.196023,0.225819,0.207257,0.173806,0.170054,0.173396733333333,0.0390518338246319,0.173396733333333,0.0100831401361106,0.0291242,0.00371144112710952,0.572136266666667,0.0137945812632201
0.375,0.218442,0.161284,0.099268,0.176808,0.202335,0.150571,0.143521,0.165071,0.227051,0.188841,0.2042,0.22761,0.213414,0.185248,0.181718,0.183025466666667,0.035282968507415,0.183025466666667,0.0091100232955986,0.0379856666666668,0.00425287571355203,0.5725199,0.0133628990091506
0.38,0.222051,0.172412,0.114061,0.187504,0.209264,0.163026,0.157263,0.17674,0.228456,0.198558,0.210908,0.228814,0.218295,0.195176,0.191962,0.191632666666667,0.0313309990508411,0.191632666666667,0.00808962916959654,0.0489227333333333,0.00484768434504623,0.571354966666667,0.0129373135146428
0.385,0.224764,0.182488,0.128911,0.196888,0.214887,0.174546,0.169974,0.187165,0.22938,0.206673,0.216268,0.229599,0.222049,0.203561,0.200727,0.199192,0.0273301504569587,0.199192,0.0070566145046096,0.0622112666666665,0.00549759189486994,0.568490366666667,0.0125542063994795
0.39,0.226749,0.191449,0.143459,0.204998,0.219329,0.184968,0.181445,0.196267,0.229968,0.213283,0.220439,0.230095,0.224849,0.210456,0.208038,0.205719466666667,0.0234017618716036,0.205719466666667,0.00604230893337549,0.0780449333333334,0.00617227635978714,0.563837266666667,0.0122145852931626
0.395,0.228163,0.19928,0.157377,0.211935,0.222745,0.194189,0.191551,0.204032,0.230333,0.218549,0.223601,0.230402,0.226877,0.215977,0.213984,0.211266333333333,0.0196509972508364,0.211266333333333,0.00507386567259048,0.0963003333333333,0.00672148648784993,0.557483,0.0117953521604404
0.4,0.229149,0.206009,0.170398,0.217847,0.225304,0.202165,0.200255,0.21051,0.230556,0.222676,0.225941,0.230591,0.228304,0.22029,0.218703,0.2159132,0.0161617702495735,0.2159132,0.00417295113478858,0.1174514,0.00731332224277494,0.5492309,0.0114862733775635
0.405,0.229827,0.2117,0.182331,0.222912,0.227176,0.208915,0.207595,0.215803,0.230697,0.225888,0.227634,0.230711,0.229287,0.223582,0.222369,0.2197618,0.0129964343033003,0.2197618,0.00335566490778405,0.1415652,0.00794424981576222,0.5390983,0.0112999147235463
0.41,0.230295,0.216447,0.193074,0.227329,0.228521,0.214508,0.213673,0.220049,0.230795,0.228412,0.228843,0.230794,0.229955,0.22605,0.225167,0.222927466666667,0.0101980100920766,0.222927466666667,0.00263311488340451,0.168611533333333,0.00860255313478652,0.527157966666667,0.011235668018191
0.415,0.230633,0.220367,0.202615,0.231298,0.229482,0.219059,0.218641,0.223408,0.230877,0.230459,0.229704,0.230865,0.230417,0.227883,0.227285,0.225532866666667,0.00780012274506596,0.225532866666667,0.00201398303266761,0.1984524,0.00926960004572037,0.513540233333333,0.011283583078388
0.42,0.230904,0.223594,0.211027,0.235016,0.230179,0.222714,0.222683,0.226055,0.230963,0.232224,0.230335,0.230941,0.230756,0.229258,0.228902,0.2277034,0.00585107907996465,0.2277034,0.00151074212226971,0.2308374,0.00992177893313971,0.498433,0.0114325210554094
0.425,0.231157,0.226269,0.218458,0.238669,0.230716,0.225639,0.226,0.228166,0.231071,0.233872,0.23083,0.231036,0.231038,0.230328,0.23018,0.229561933333333,0.00446224944021136,0.229561933333333,0.00115214785123747,0.265407733333333,0.0105332399815634,0.4820771,0.0116853878328009
0.43,0.231482,0.228543,0.225108,0.242427,0.231176,0.228011,0.228801,0.229911,0.231216,0.235548,0.23127,0.231164,0.231313,0.231231,0.231266,0.231231133333333,0.00384335500510142,0.231231133333333,9.92349995221381E-4,0.3017076,0.0110784947162982,0.464761766666667,0.0120708447115196
0.435,0.231947,0.230565,0.231219,0.246439,0.23163,0.230008,0.231294,0.231452,0.231416,0.23737,0.23172,0.231339,0.231627,0.232083,0.232289,0.232826533333333,0.00410344694593402,0.232826533333333,0.00105950544557654,0.338890866666667,0.0115078875198778,0.446967833333333,0.0125673929654543
0.44,0.232616,0.232486,0.237056,0.250836,0.232142,0.231805,0.233681,0.232943,0.231694,0.239441,0.232239,0.23158,0.232019,0.232989,0.233364,0.2344594,0.00501819385265826,0.2344594,0.00129569208129239,0.376467333333333,0.0118360347175446,0.428996033333333,0.013131726798837
