,04P,06AG,06G,06SoS,08P,08S,10-12D,10AG,10G,10S,10SoS,12P,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,
,,,,,,,,,,,,,,SD,,SEM,,SEM,,SEM
0.465,0.354878,0.37989,0.366994,0.341652,0.352389,0.34481,0.345644,0.345012,0.327367,0.351956,0.356974,0.357076,0.3520535,0.0131990810802736,0.3520535,0.00381024650737583,0.383289083333333,0.00719809326126395,0.484382208333333,0.00550416988431989
0.47,0.372138,0.398566,0.392923,0.362634,0.371892,0.365963,0.365494,0.360633,0.346312,0.370837,0.377906,0.376711,0.371834083333333,0.0140039896033454,0.371834083333333,0.0040426035836101,0.400112666666667,0.00720350402354103,0.485860708333333,0.00562305380357556
0.475,0.389498,0.417721,0.419083,0.383853,0.391298,0.387205,0.385395,0.376933,0.365823,0.389714,0.397627,0.396038,0.391682333333333,0.0150726617021639,0.391682333333333,0.00435110264557425,0.417334333333333,0.0071635183155043,0.487174,0.00575731048053928
0.48,0.406239,0.437271,0.445214,0.405147,0.410484,0.408396,0.405212,0.393919,0.385821,0.408493,0.4179,0.414912,0.411584,0.0163737170378739,0.411584,0.00472668496972564,0.434986666666667,0.00708193051313901,0.488298666666667,0.00590430774143233
0.485,0.423246,0.45712,0.471054,0.42636,0.429347,0.429413,0.424831,0.411583,0.406212,0.427096,0.438591,0.43322,0.431506083333333,0.0177807946875188,0.431506083333333,0.00513287329962222,0.453062083333333,0.0069564452123044,0.489222,0.00604465925596331
0.49,0.440807,0.47716,0.496349,0.447345,0.4478,0.450143,0.444161,0.429905,0.426887,0.445464,0.459547,0.450881,0.45137075,0.0191747443701107,0.45137075,0.00553527191186282,0.471539666666667,0.00677769502400218,0.489915541666667,0.0061564834679325
0.495,0.45886,0.497278,0.520866,0.46759,0.465775,0.470494,0.463132,0.448846,0.447724,0.463547,0.480596,0.467851,0.471046583333333,0.0204843920692553,0.471046583333333,0.00591333463768519,0.490369416666667,0.00654148678709453,0.490338583333333,0.00622741071238986
0.5,0.477323,0.517357,0.544399,0.487492,0.483225,0.490388,0.481646,0.46835,0.468588,0.481307,0.501562,0.484111,0.490479,0.0216561242524226,0.490479,0.00625158458337007,0.509521,0.00625158458337007,0.490479,0.00625158458337007
0.505,0.496091,0.537284,0.566782,0.507355,0.500117,0.509757,0.49986,0.488347,0.489333,0.498711,0.52226,0.49967,0.509630583333333,0.0226603749445764,0.509630583333333,0.00654148678709453,0.528953416666667,0.00591333463768519,0.490338583333333,0.00622741071238986
0.51,0.515046,0.55695,0.587887,0.527093,0.516436,0.528549,0.518105,0.508755,0.509807,0.515825,0.542517,0.514554,0.528460333333333,0.0234786242795571,0.528460333333333,0.00677769502400218,0.54862925,0.00553527191186282,0.489915541666667,0.0061564834679325
0.515,0.534057,0.576266,0.607629,0.546631,0.532178,0.546713,0.536295,0.529487,0.529854,0.533169,0.562174,0.528802,0.546937916666667,0.024097833095561,0.546937916666667,0.0069564452123044,0.568493916666667,0.00513287329962222,0.489222,0.00604465925596331
0.52,0.552995,0.595156,0.625968,0.56592,0.547349,0.564208,0.554346,0.55046,0.549684,0.550508,0.581102,0.542464,0.565013333333333,0.0245325269288582,0.565013333333333,0.00708193051313901,0.588416,0.00472668496972564,0.488298666666667,0.00590430774143233
0.525,0.571744,0.613572,0.642906,0.584936,0.561964,0.580996,0.572181,0.571597,0.56953,0.567762,0.599209,0.555591,0.582665666666667,0.0248151553668073,0.582665666666667,0.0071635183155043,0.608317666666667,0.00435110264557425,0.487174,0.00575731048053928
0.53,0.590207,0.631489,0.658481,0.603684,0.576044,0.597046,0.589745,0.592838,0.588882,0.584863,0.616452,0.568917,0.599887333333333,0.0249536699225998,0.599887333333333,0.00720350402354103,0.628165916666667,0.0040426035836101,0.485860708333333,0.00562305380357556
0.535,0.608326,0.648907,0.672767,0.622208,0.589614,0.612332,0.607012,0.614144,0.607673,0.601765,0.632843,0.58294,0.616710916666667,0.0249349264922566,0.616710916666667,0.00719809326126395,0.6479465,0.00381024650737583,0.484382208333333,0.00550416988431989
0.54,0.626081,0.665854,0.685863,0.640579,0.602703,0.626838,0.623989,0.635495,0.625887,0.618451,0.648453,0.597185,0.633114833333333,0.024874442615348,0.633114833333333,0.00718063306995655,0.667422333333333,0.00369998317836744,0.48284625,0.00544030812416199
0.545,0.643501,0.682376,0.697889,0.658899,0.615343,0.64056,0.640728,0.656892,0.643564,0.634942,0.663411,0.611724,0.649152416666667,0.0248470477172873,0.649152416666667,0.00717272484407165,0.686467416666667,0.00372546068019403,0.4813425,0.00544909276213284
0.55,0.660659,0.698537,0.70898,0.677284,0.629817,0.653508,0.657322,0.678346,0.660801,0.651294,0.677898,0.626643,0.66509075,0.0246404946125276,0.66509075,0.00711309809875416,0.7050785,0.00379501418829943,0.480006125,0.0054540561435268
0.555,0.677671,0.714409,0.719275,0.695856,0.644733,0.666109,0.673897,0.699874,0.677738,0.667602,0.692134,0.642038,0.680944666666667,0.0244740145027085,0.680944666666667,0.00706503943064479,0.723196166666667,0.00386001796752243,0.47887425,0.00546252869908361
0.56,0.694679,0.730073,0.728913,0.714722,0.659968,0.680076,0.690605,0.72148,0.694549,0.683988,0.706364,0.658012,0.696952416666667,0.0243323904271963,0.696952416666667,0.00702415608158444,0.740611833333333,0.00399893623512882,0.478170291666667,0.00551154615835663
0.565,0.711835,0.745604,0.738028,0.733961,0.675627,0.693981,0.707604,0.743148,0.711419,0.700592,0.720835,0.674667,0.713108416666667,0.0243343148005159,0.713108416666667,0.00702471160031147,0.757344166666667,0.00415825975917179,0.477882125,0.00559148567974163
0.57,0.729284,0.761075,0.746743,0.753602,0.691815,0.708005,0.72504,0.764831,0.728525,0.717549,0.735771,0.692096,0.729528,0.0245093162621148,0.729528,0.00707523017079282,0.7734445,0.00427230253635217,0.47804175,0.0056737663535725
0.575,0.747137,0.776542,0.755166,0.773615,0.70863,0.722336,0.743021,0.786437,0.746012,0.734978,0.751352,0.71036,0.746298833333333,0.0248641838717071,0.746298833333333,0.00717767162575524,0.78876625,0.00440149259140544,0.478766291666667,0.00578958210858034
0.58,0.765456,0.792047,0.763387,0.793904,0.726145,0.737148,0.761597,0.807833,0.76397,0.752953,0.767689,0.72948,0.763467416666667,0.0253850149908038,0.763467416666667,0.00732802261916163,0.803344583333333,0.00455081544217766,0.480061416666667,0.00593941903066964
