,04P,06A,06AG,06G,06S,06SoS,06T,08AG,08P,10-12D,10A,10AG,10G,10S,10SoS,10T,12P,12S,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,
,,,,,,,,,,,,,,,,,,,,SD,,SEM,,SEM,,SEM
0.52,0.426733,0.455999,0.463446,0.511073,0.459269,0.468325,0.470438,0.461086,0.408004,0.416076,0.445766,0.420923,0.446961,0.459157,0.451559,0.459528,0.386515,0.402446,0.445183555555556,0.0299889590922711,0.445183555555556,0.00706846544495695,0.692853555555556,0.0050774567299574,0.376165,0.00607296108745718
0.525,0.452116,0.480942,0.484058,0.532128,0.4819,0.490234,0.493808,0.485535,0.432101,0.444276,0.473911,0.448654,0.473766,0.488778,0.481001,0.490392,0.411717,0.424103,0.470523333333333,0.0295330652479755,0.470523333333333,0.00696101023535608,0.702996777777778,0.0045591456031895,0.383763277777778,0.00576007791927279
0.53,0.479316,0.508002,0.508701,0.553484,0.50531,0.51289,0.517757,0.510783,0.461565,0.47467,0.503747,0.478432,0.502593,0.52021,0.512175,0.523057,0.439443,0.447149,0.497738,0.028815250347485,0.497738,0.00679181964076489,0.712059722222222,0.00400622195160559,0.392839138888889,0.00539902079618524
0.535,0.508173,0.536988,0.53579,0.575026,0.529358,0.536164,0.542102,0.536609,0.49313,0.50694,0.535004,0.509961,0.53321,0.553133,0.544748,0.557141,0.469497,0.475378,0.526575111111111,0.0277224020135106,0.526575111111111,0.00653423281817764,0.720210333333333,0.00343166928739342,0.403182388888889,0.00498295105278553
0.54,0.538477,0.567631,0.564354,0.59663,0.553887,0.559914,0.566662,0.562787,0.526444,0.540692,0.567364,0.542876,0.565312,0.587161,0.57834,0.592206,0.50159,0.506878,0.5566225,0.0265527607166651,0.5566225,0.00625854572065921,0.727644944444444,0.00286225732763887,0.414488777777778,0.00456040152414904
0.545,0.569968,0.599598,0.594187,0.618175,0.578738,0.583987,0.591263,0.58909,0.561077,0.575478,0.600475,0.576759,0.598526,0.621861,0.612533,0.627768,0.535348,0.539766,0.587477611111111,0.0256909232887435,0.587477611111111,0.00605540869080465,0.734535833333333,0.00234490811622319,0.426470888888889,0.00420015840351392
0.55,0.602341,0.632493,0.625024,0.639541,0.603743,0.608221,0.615738,0.615295,0.596544,0.610807,0.633961,0.611156,0.632424,0.656765,0.64689,0.663323,0.570323,0.573611,0.618788888888889,0.0253510424959998,0.618788888888889,0.00597529801968992,0.741056833333333,0.0019741151591953,0.438866027777778,0.00397470658944261
0.555,0.635253,0.665874,0.65654,0.660615,0.628735,0.632454,0.639935,0.641191,0.632325,0.646175,0.667429,0.645595,0.666542,0.69139,0.680967,0.698368,0.606014,0.607948,0.650186111111111,0.0256696053703457,0.650186111111111,0.00605038400925135,0.747377166666667,0.00189281439700338,0.451404472222222,0.00397159920312737
0.56,0.668328,0.699271,0.688362,0.681293,0.653549,0.656522,0.663716,0.666586,0.667886,0.681085,0.700487,0.679611,0.700401,0.72526,0.714338,0.73242,0.641888,0.642298,0.6812945,0.0266550931172306,0.6812945,0.00628266569878422,0.7536585,0.00217420591055753,0.463818,0.00422843580467087
0.565,0.701169,0.732199,0.720081,0.701482,0.682354,0.680265,0.686961,0.691305,0.702713,0.715067,0.732749,0.712762,0.733526,0.757927,0.746602,0.765039,0.677409,0.67619,0.711988888888889,0.0278981453376572,0.711988888888889,0.00657565591692843,0.760051222222222,0.0027304966731462,0.475968833333333,0.00465307629503731
