,04P,06G,06S,08P,08S,10-12D,10G,12P,12S,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,,,
,,,,,,,,,,,,,SEM,,SEM,,SEM,,
0.325,0.101617,8.34E-4,0.073377,0.120082,0.136397,0.135672,0.133767,0.132805,0.134503,0.107672666666667,0.0453084171126072,0.107672666666667,0.0151028057042024,8.10333333333357E-4,1.77551009884795E-4,0.553431166666667,0.0076401783570436,--,
0.33,0.105721,0.00127,0.081549,0.124054,0.140982,0.140879,0.139827,0.138718,0.137787,0.112309666666667,0.0463672484141554,0.112309666666667,0.0154557494713851,0.00121533333333335,2.32115751775321E-4,0.555547166666667,0.00784393261158023,--,
0.335,0.109106,0.001893,0.089031,0.128575,0.144681,0.144567,0.146633,0.145388,0.141307,0.116797888888889,0.0474721172938506,0.116797888888889,0.0158240390979502,0.00180099999999994,3.02997387227465E-4,0.557498444444445,0.00806351824258883,--,
0.34,0.112021,0.002762,0.095736,0.133753,0.148571,0.148448,0.152077,0.152678,0.145044,0.121232222222222,0.0486341093518165,0.121232222222222,0.0162113697839388,0.00263377777777773,3.95747351285366E-4,0.559299222222222,0.0083035585676121,,
0.345,0.114725,0.003949,0.101676,0.13962,0.152623,0.152493,0.156213,0.160398,0.148973,0.12563,0.0497920314683986,0.12563,0.0165973438227995,0.00379933333333338,5.17170668155098E-4,0.560915333333333,0.00855725724547732,,
0.35,0.117457,0.005532,0.106954,0.146134,0.156804,0.156669,0.160447,0.168316,0.153065,0.130153111111111,0.0509873058036126,0.130153111111111,0.0169957686012042,0.00540266666666667,6.7593170266431E-4,0.562375222222222,0.00883585015193426,,
0.355,0.120427,0.007597,0.111739,0.153184,0.161077,0.160939,0.164741,0.176181,0.157284,0.134796555555556,0.0521357319362429,0.134796555555556,0.017378577312081,0.00757077777777782,8.81701382079275E-4,0.563612888888889,0.00913013934708012,,
0.36,0.123802,0.010231,0.116236,0.160607,0.165404,0.165264,0.169055,0.183749,0.161593,0.139549,0.0531483450918276,0.139549,0.0177161150306092,0.0104532222222222,0.00114500401233865,0.564547888888889,0.00943055952147393,,
0.365,0.127701,0.013519,0.120662,0.168202,0.169744,0.169604,0.173351,0.1908,0.165951,0.144392666666667,0.0539349678779917,0.144392666666667,0.0179783226259972,0.0142203333333334,0.00147680527942357,0.565086166666667,0.00972756395271041,,
0.37,0.132194,0.017536,0.125213,0.175751,0.174057,0.173918,0.17759,0.197165,0.170317,0.149304555555556,0.0544130697790318,0.149304555555556,0.0181376899263439,0.0190598888888889,0.00188739069914911,0.565122333333333,0.0100125403127465,,
0.375,0.137302,0.022344,0.130049,0.183038,0.178303,0.178166,0.181737,0.202728,0.174649,0.154257333333333,0.0545127933608249,0.154257333333333,0.018170931120275,0.0251751111111113,0.0023862682770643,0.564541111111111,0.0102785996986696,,
0.38,0.143,0.027985,0.135281,0.189868,0.182446,0.182311,0.185761,0.207438,0.178906,0.159221777777778,0.0541844873782566,0.159221777777778,0.0180614957927522,0.0327756666666666,0.00298190998168773,0.563223055555556,0.01052170288722,,
0.385,0.149217,0.034479,0.140961,0.196087,0.186454,0.18632,0.189638,0.211302,0.183051,0.164167666666667,0.053402289248683,0.164167666666667,0.0178007630828943,0.0420705555555556,0.00368075516146375,0.561048555555556,0.010740759122179,,
0.39,0.155848,0.041822,0.147087,0.201584,0.190301,0.190167,0.19335,0.214372,0.18705,0.169064555555556,0.0521634399989857,0.169064555555556,0.0173878133329952,0.0532606666666667,0.00448752874952103,0.557901944444444,0.0109376710412581,,
0.395,0.162754,0.049991,0.153609,0.206305,0.193967,0.19383,0.196887,0.216737,0.190874,0.173883777777778,0.0504862564684137,0.173883777777778,0.0168287521561379,0.0665261111111111,0.00540509370214915,0.553678833333333,0.0111169229291435,,
0.4,0.169783,0.058948,0.160434,0.210245,0.197441,0.197297,0.200252,0.217951,0.194504,0.178539444444444,0.0483483786985435,0.178539444444444,0.0161161262328478,0.0820190000000001,0.0064337864369799,0.548260222222222,0.0112749563349139,,
0.405,0.176774,0.068646,0.167444,0.213442,0.200724,0.200564,0.203458,0.218746,0.197923,0.183080111111111,0.0458610450340058,0.183080111111111,0.0152870150113353,0.0998516666666668,0.00757150436028255,0.541614222222222,0.0114292596858089,,
0.41,0.183576,0.079038,0.174509,0.215967,0.203827,0.203642,0.206533,0.219438,0.20113,0.187517777777778,0.0430896441612651,0.187517777777778,0.0143632147204217,0.120089444444444,0.00881220028507055,0.533714166666667,0.0115877075027461,,
0.415,0.19006,0.090091,0.1815,0.217914,0.206776,0.206551,0.20952,0.220048,0.20413,0.191843333333333,0.0400649656152355,0.191843333333333,0.0133549885384118,0.142742444444444,0.0101452871408232,0.524550444444444,0.0117501378396175,,
0.42,0.196127,0.101789,0.188304,0.219385,0.209611,0.209328,0.212479,0.220601,0.206942,0.196062888888889,0.0368123087548324,0.196062888888889,0.0122707695849441,0.167760777777778,0.0115543345182877,0.514151055555556,0.0119125520516159,,
