,04P,06G,06S,08AG,08P,10-12D,10G,10S,12AG,12P,12S,Mean,Standard Deviation,mean,SEM,R,R,B_GS,sem
,,,,,,,,,,,,,,,,mean,sem,,
0.295,0.034185,0.008841,0.006484,0.063384,0.022457,0.047936,0.081424,0.059806,0.01291,0.043186,0.031054,0.0374242727272727,0.0242999282019141,0.0374242727272727,0.00732670402530225,3.11090909090983E-4,9.74987603227006E-5,0.518556590909091,0.00742420278562495
0.3,0.040446,0.012166,0.008965,0.06918,0.027697,0.055228,0.087316,0.066875,0.017033,0.050978,0.038207,0.0430991818181818,0.025454782626525,0.0430991818181818,0.00767490573565824,5.15272727272698E-4,1.56224785072897E-4,0.521291954545455,0.00783113052073113
0.305,0.046883,0.016293,0.012062,0.074807,0.033326,0.062486,0.092846,0.073729,0.021884,0.058888,0.045879,0.0490075454545455,0.0262849353712869,0.0490075454545455,0.00792520620593632,8.33818181818158E-4,2.44291398954821E-4,0.524086863636364,0.00816949760489114
0.31,0.053396,0.021257,0.015812,0.080267,0.039213,0.069601,0.098007,0.080324,0.027422,0.066723,0.053878,0.0550818181818182,0.0267726897297159,0.0550818181818182,0.00807226967836993,0.00131927272727272,3.72466986722778E-4,0.526881272727273,0.00844473666509271
0.315,0.059928,0.027051,0.020223,0.08554,0.045235,0.076501,0.102826,0.08664,0.033567,0.074324,0.062009,0.0612585454545454,0.0269159440828801,0.0612585454545454,0.00811546249100907,0.0020420000000001,5.54138627224115E-4,0.529608272727273,0.00866960111823319
0.32,0.066454,0.033621,0.025272,0.090595,0.051294,0.083147,0.10737,0.092682,0.040212,0.081574,0.070097,0.0674834545454546,0.026732247665932,0.0674834545454546,0.00806007593734094,0.00309245454545459,8.04674065734764E-4,0.5321955,0.00886475000307571
0.325,0.07298,0.04087,0.03091,0.095394,0.057322,0.089528,0.111752,0.098476,0.047235,0.08841,0.077999,0.073716,0.0262597968270891,0.073716,0.00791762664967453,0.00458499999999995,0.00114074354539644,0.5345655,0.00905837019507098
0.33,0.079529,0.048668,0.037067,0.099921,0.063284,0.09566,0.116116,0.104071,0.05451,0.094821,0.085625,0.0799338181818182,0.0255566784493532,0.0799338181818182,0.00770562848220605,0.00665872727272732,0.00157936650183149,0.536637545454545,0.00928499498403754
0.335,0.086125,0.056863,0.043665,0.104188,0.069174,0.101585,0.120624,0.109547,0.061921,0.100846,0.092934,0.0861338181818182,0.0246969843941247,0.0861338181818182,0.00744642097168857,0.00947618181818177,0.00213632855754566,0.538328818181818,0.00958274952923423
0.34,0.09279,0.065299,0.050624,0.10825,0.075003,0.107369,0.125434,0.115001,0.069375,0.106565,0.099936,0.0923314545454546,0.0237642322971462,0.0923314545454546,0.00716518563277087,0.013222090909091,0.00282406275186057,0.539554681818182,0.00998924838463144
0.345,0.099536,0.073836,0.057875,0.112202,0.080794,0.113098,0.130672,0.120548,0.076803,0.112092,0.106685,0.0985582727272727,0.0228423656703543,0.0985582727272727,0.00688723238660548,0.0180984545454546,0.00364968722038089,0.540229909090909,0.0105369196069864
0.35,0.106366,0.082359,0.065364,0.116172,0.086568,0.118871,0.136422,0.126297,0.084163,0.11756,0.113269,0.104855545454545,0.022007806493895,0.104855545454545,0.00663560332718152,0.0243160909090909,0.00461274387175858,0.540269727272727,0.0112483471989401
0.355,0.113277,0.090791,0.073051,0.120308,0.092348,0.124787,0.142704,0.132344,0.091443,0.123102,0.119789,0.111267636363636,0.0213176817514134,0.111267636363636,0.00642752288814952,0.0320868181818182,0.00570358751348369,0.539590409090909,0.0121311104016332
0.36,0.120263,0.099096,0.08091,0.124756,0.098154,0.130936,0.149481,0.138746,0.098651,0.12884,0.126348,0.117834636363636,0.0208031858582897,0.117834636363636,0.00627239653963405,0.0416099090909091,0.00690190321637912,0.538112363636364,0.0131742997560132
0.365,0.127319,0.107283,0.088924,0.129647,0.104011,0.137379,0.156653,0.145517,0.105812,0.134868,0.133034,0.124586090909091,0.0204626417915896,0.124586090909091,0.00616971864019532,0.0530626363636364,0.00817666222775387,0.535761727272727,0.0143463808679492
0.37,0.134433,0.115396,0.097079,0.135083,0.10995,0.144143,0.16408,0.152621,0.112966,0.141238,0.139907,0.131536,0.0202642212236247,0.131536,0.00610989258795633,0.066586090909091,0.00948653076108394,0.532474954545455,0.0155964233490403
0.375,0.141593,0.12351,0.105359,0.141128,0.116009,0.15121,0.171587,0.159973,0.120157,0.147958,0.146989,0.138679363636364,0.0201503254131179,0.138679363636364,0.00607555170898866,0.0822751818181819,0.0107822997570667,0.528202090909091,0.0168578514660553
0.38,0.148777,0.131719,0.113742,0.147801,0.122231,0.158522,0.178994,0.16745,0.127431,0.154989,0.154266,0.145992909090909,0.0200496616452974,0.145992909090909,0.00604520044100283,0.100170636363636,0.0120090323493858,0.522911136363636,0.0180542327903887
0.385,0.155953,0.140127,0.122202,0.155081,0.128661,0.165984,0.186126,0.174909,0.134827,0.162251,0.161684,0.153436818181818,0.0198865303953112,0.153436818181818,0.00599601451847684,0.120252727272727,0.013110492156417,0.516592045454545,0.0191065066748938
0.39,0.163083,0.148839,0.13071,0.162912,0.135338,0.173479,0.192838,0.1822,0.142373,0.169636,0.16916,0.160960727272727,0.0195929702755397,0.160960727272727,0.00590750281205013,0.142439545454546,0.014032768352139,0.509260590909091,0.0199402711641891
